input,expected
"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear",Acute Otitis Media
"Pain, Swelling, Bruising, Deformity, Difficulty moving, Loss of function",Fracture
Sharp or aching pain in the lower abdomen or groin,Round Ligament Pain
"Challenges with social interaction, communication difficulties, restricted interests or repetitive behaviors",Autism
"Painless lump or swelling, Facial changes",Pleomorphic adenoma
"Hearing loss (gradual and progressive), tinnitus (ringing in the ears), dizziness or balance problems",Otosclerosis
Recurrent episodes of binge eating followed by purging behaviors,Bulimia Nervosa
"Nausea, vomiting, abdominal pain, liver or kidney damage, dizziness, confusion, respiratory distress",Poisoning due to Analgesics
"Hypocalcemia (low calcium levels), tetany (muscle spasms), short stature, rounded face",Pseudohypoparathyroidism
"Redness, itching, rash, blistering",Dermatitis due to Sun Exposure
"Fatigue, weakness, shortness of breath, pale skin",Anemia due to Malignancy
"Excessive sweating (beyond what is necessary for temperature regulation), typically in specific areas (such as palms, soles, underarms), may interfere with daily activities",Hyperhidrosis
"Ear pain, fever, fluid drainage from the ear",Otitis Media
"Abdominal or flank pain, blood in urine, frequent urination",Benign Kidney Cyst
"Surgical site pain, discomfort, swelling",Pain after an Operation
"Persistent knee pain, stiffness, swelling, limited range of motion",Chronic Knee Pain
"Abdominal pain, nausea, vomiting, bloating, constipation, bloody stool",Volvulus
"Fatigue, swollen and bleeding gums, joint pain",Scurvy
"Severe abdominal or back pain, blood in urine, frequent urination, pain during urination",Urinary Stones (Kidney Stones)
"Pain, swelling, bruising, deformity, restricted range of motion, difficulty gripping or using the finger",Injury to the Finger
"Floaters (spots or cobweb-like shapes in vision), flashes of light, curtain-like shadow over vision, sudden vision loss",Retinal Detachment
"Joint pain, fever, rash, heart inflammation",Chronic Rheumatic Fever
"Wheezing, shortness of breath, chest tightness",Acute Bronchospasm
"Persistent pain or discomfort in the vulva, burning, stinging, rawness, itching",Vulvodynia
Symptoms that do not meet the full criteria for a specific eating disorder,Other Specified Feeding or Eating Disorder (OSFED)
"Fatigue, weakness, pale skin",Anemia due to Chronic Kidney Disease
Painful blisters on the skin and mucous membranes,Pemphigus
"Primary stage: painless sores (chancre) at the site of infection, secondary stage: skin rash, fever, swollen lymph nodes, sore throat, latent stage: no symptoms, tertiary stage: severe complications affecting the heart, brain, and other organs",Syphilis
"Redness, swelling, discharge, foul odor around the umbilical area",Omphalitis
"Abnormal vaginal bleeding outside of the menstrual period, unpredictable bleeding episodes, bleeding after sexual intercourse, bleeding after menopause, spotting or light bleeding between periods, prolonged or heavy bleeding",Idiopathic Nonmenstrual Bleeding
"Localized muscle pain, trigger points",Myofascial Pain Syndrome
"Hoarseness, Vocal Changes, Vocal Fatigue",Vocal cord polyp
"Shoulder pain, weakness or loss of strength, limited range of motion, shoulder stiffness",Rotator Cuff Injury
"Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties (fibro fog), mood changes",Fibromyalgia
"Fatigue, nausea, excessive thirst, kidney stones",Hypercalcemia
Varies depending on the underlying cause,Secondary Glaucoma
"Rash, itching, swelling, fever, respiratory symptoms",Drug Reaction
"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)",Acute Sinusitis
"Irregular periods, excessive hair growth, acne, weight gain, ovarian cysts",Polycystic Ovarian Syndrome
"Severe and persistent pain, changes in skin color or temperature, swelling, stiffness",Complex Regional Pain Syndrome (CRPS)
"Vision loss or blurry vision, eye pain with eye movement, color vision impairment, flashing lights or floaters",Optic Neuritis
"Abdominal or back pain, unexplained weight loss, hormonal imbalances",Adrenal Cancer
"Headache, fever, neurological deficits",Intracranial Abscess
"Lump, swelling, Facial numbness, tingling",Adenoid cystic carcinoma
"Severe pain, swelling, bruising, difficulty straightening or bending the knee, deformity",Fracture of the Patella
"Uncomfortable sensation in the legs, usually in the evening or at night, urge to move legs for relief",Restless Leg Syndrome
"Small, painful blisters on the lips or around the mouth",Cold Sore
"Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure",Chronic Kidney Disease
"Enlarged thyroid gland in the neck, swelling or visible protrusion, difficulty swallowing or breathing",Goiter
"Frequent urination, Increased thirst, Weight loss",Type 1 Diabetes
"Severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm",Dislocation of the Elbow
"Flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing",Rabies
"Itchy, red rash caused by contact with irritants or allergens",Contact Dermatitis
"Excessive bleeding and bruising, prolonged bleeding from wounds or after dental work or surgery, spontaneous bleeding in joints or muscles",Hemophilia
"Redness, swelling, discharge from the wound",Open Wound from Surgical Incision
"Recurrent, disabling migraines",Chronic Migraine
"Muscle weakness or fatigue, irregular heartbeat or palpitations, numbness or tingling, nausea or vomiting",Hyperkalemia
"Widespread musculoskeletal pain, fatigue, sleep disturbances",Fibromyalgia
"Mood swings, manic episodes, depressive episodes",Bipolar Disorder
"Drowsiness, confusion, slowed breathing",Sedatives Poisoning
"headache, nausea, sensitivity to light, visual disturbances",Migraine
"Heel pain, tenderness, difficulty walking",Plantar Fasciitis
"Persistent, painful erection",Priapism
High blood pressure without proteinuria (preeclampsia),Gestational Hypertension
"Fever, chills, back or flank pain, frequent urination",Pyelonephritis
"Euphoria, increased energy, dilated pupils, rapid heart rate, high blood pressure, risk of heart attack or stroke",Drug Abuse (Cocaine)
"Intense joint pain, swelling, redness",Gout
"Excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)",Narcolepsy
"Swelling, pain, dry mouth, bad taste",Submandibular stones
"Toothache, tooth sensitivity, visible pits or holes in the teeth, dark spots on the teeth, bad breath",Dental Caries
"Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue",Vitamin B12 Deficiency
"Lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape",Testicular Cancer
"Curvature of the penis, pain during erections",Peyronie Disease
"Fatigue, jaundice, abdominal pain, nausea, vomiting",Hepatitis due to a Toxin
"Sensation of a foreign object stuck in the throat, difficulty swallowing or speaking",Foreign Body in the Throat
"Excessive tearing, eye discharge, recurrent eye infections",Stenosis of the Tear Duct
"Pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements",Lateral Epicondylitis (Tennis Elbow)
"Inattention, hyperactivity, impulsivity",Attention Deficit Hyperactivity Disorder (ADHD)
"Benign tumors in various organs, seizures, developmental delays, skin abnormalities",Tuberous Sclerosis
"Fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles",Pulmonic Valve Disease
"Pelvic pressure or heaviness, urinary incontinence, bowel movement difficulties, discomfort or pain during intercourse",Pelvic Organ Prolapse
"Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce use, continued use despite negative consequences (such as relationship problems, health risks)","Sedative, Hypnotic, or Anxiolytic Use Disorder"
"Irregular or rapid heartbeat, palpitations, shortness of breath, chest pain or discomfort, dizziness or lightheadedness, fatigue",Atrial Fibrillation
"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Asthma
"Developmental delays, intellectual disability, distinct facial features (small jaw, low-set ears), heart defects",Edward Syndrome
"Fever, headache, body aches, rash",West Nile Virus
"Excessive body weight, increased risk of chronic conditions",Obesity
"headache, dizziness, blurred vision",Hypertension
"Swelling, pain, tenderness, difficulty eating",Sialolithiasis
"Difficulty seeing objects up close, blurred vision when focusing on near objects",Hyperopia
"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting",Liver Cancer
"Painful, red lump or swelling on the eyelid, usually on the upper eyelid, sensitivity to light, blurred vision (if the chalazion affects the line of sight), mild discomfort, tenderness, localized inflammation and swelling",Chalazion
"Numbness or tingling in fingers or around the mouth, muscle cramps",Hypocalcemia
"Small, rough growths on the skin or mucous membranes, typically painless, may appear in clusters or as single lesions",Viral Warts
"Chronic back pain and stiffness, especially in the morning or after periods of inactivity, limited range of motion in the spine, fatigue, inflammation and pain in other joints (such as hips, shoulders, knees), discomfort or pain in the neck, difficulty maintaining proper posture, tenderness or swelling in affected areas, tingling or numbness in extremities in severe cases",Spondylitis
